Participant,TestNumber_1,TestNumber_2,TestNumber_3,TestNumber_4,TestNumber_5,TestNumber_6,TestNumber_7,TestNumber_8,TestNumber_9,TestNumber_10,TestNumber_11,TestNumber_12,TestNumber_13,TestNumber_14,TestNumber_15,ATCint1_PM,ATCint2_PM,ATCint3_PM,ATCint4_PM,ATCint5_PM,Blank1_PM,Blank2_PM,Blank3_PM,Blank4_PM,Blank5_PM,None1_PM,None2_PM,None3_PM,None4_PM,None5_PM,ATCintM_PM,BlankM_PM,NoneM_PM,ATCint1_PM_falsealarm,ATCint2_PM_falsealarm,ATCint3_PM_falsealarm,ATCint4_PM_falsealarm,ATCint5_PM_falsealarm,Blank1_PM_falsealarm,Blank2_PM_falsealarm,Blank3_PM_falsealarm,Blank4_PM_falsealarm,Blank5_PM_falsealarm,None1_PM_falsealarm,None2_PM_falsealarm,None3_PM_falsealarm,None4_PM_falsealarm,None5_PM_falsealarm,ATCintM_PM_falsealarm,BlankM_PM_falsealarm,NoneM_PM_falsealarm,ATCint1_Accuracy2,ATCint2_Accuracy2,ATCint3_Accuracy2,ATCint4_Accuracy2,ATCint5_Accuracy2,Blank1_Accuracy2,Blank2_Accuracy2,Blank3_Accuracy2,Blank4_Accuracy2,Blank5_Accuracy2,None1_Accuracy2,None2_Accuracy2,None3_Accuracy2,None4_Accuracy2,None5_Accuracy2,ATCintM_PM_Accuracy2,BlankM_PM_Accuracy2,NoneM_PM_Accuracy2,ATCint1_PMRT,ATCint2_PMRT,ATCint3_PMRT,ATCint4_PMRT,ATCint5_PMRT,Blank1_PMRT,Blank2_PMRT,Blank3_PMRT,Blank4_PMRT,Blank5_PMRT,None1_PMRT,None2_PMRT,None3_PMRT,None4_PMRT,None5_PMRT,ATCintM_PM_reaction,BlankM_PM_reaction,NoneM_PM_reaction,ATCint1_ResTime,ATCint2_ResTime,ATCint3_ResTime,ATCint4_ResTime,ATCint5_ResTime,Blank1_ResTime,Blank2_ResTime,Blank3_ResTime,Blank4_ResTime,Blank5_ResTime,None1_ResTime,None2_ResTime,None3_ResTime,None4_ResTime,None5_ResTime,ATCintM_ResTime,BlankM_ResTime,NoneM_ResTime,ATCint1_ResTimeMisses,ATCint2_ResTimeMisses,ATCint3_ResTimeMisses,ATCint4_ResTimeMisses,ATCint5_ResTimeMisses,Blank1_ResTimeMisses,Blank2_ResTimeMisses,Blank3_ResTimeMisses,Blank4_ResTimeMisses,Blank5_ResTimeMisses,None1_ResTimeMisses,None2_ResTimeMisses,None3_ResTimeMisses,None4_ResTimeMisses,None5_ResTimeMisses,ATCintM_ResTimeMisses,BlankM_ResTimeMisses,NoneM_ResTimeMisses,ATCint1_PM_Fixed,ATCint2_PM_Fixed,ATCint3_PM_Fixed,ATCint4_PM_Fixed,ATCint5_PM_Fixed,Blank1_PM_Fixed,Blank2_PM_Fixed,Blank3_PM_Fixed,Blank4_PM_Fixed,Blank5_PM_Fixed,None1_PM_Fixed,None2_PM_Fixed,None3_PM_Fixed,None4_PM_Fixed,None5_PM_Fixed,ATCint_PM_Fixed,Blank_PM_Fixed,None_PM_Fixed,ATCint_PM_Valid,Blank_PM_Valid,None_PM_Valid,,
19,11,9,1,10,15,12,4,5,7,6,2,14,3,8,13,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,5,4,1,0,0,0,0,0,0,0,0.111111111,0,0,0.1,0,0,0,0.090909091,0,0.019230769,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1826.005883,3230.55414,3004.6395,2173.611925,4237.96452,673.9920955,2139.793799,0,3113.344691,2383.077456,0,0,2987.936945,0,0,2894.555194,2077.55201,2987.936945,19263.59225,17235.8457,3489.416264,2370.487837,21291.33881,8583.275752,7284.66971,4642.628348,3090.586985,12980.46026,1601.628348,1683.008518,1599.586985,15662.00852,1887.854219,12730.13617,7316.324211,4486.817317,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,5,4,1,5,5,5,,1013.873277
2,6,15,13,4,11,8,10,2,3,5,7,14,9,1,12,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,5,1,4,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.343879,1365.222813,1263.976685,1764.121231,756.8907567,0,1687.933721,0,0,0,1708.88293,1222.746211,1900.711073,0,2245.668109,1548.311073,1687.933721,1769.502081,2438.816486,2286.379017,1882.679766,1542.875103,3166.097751,3642.379017,1787.132889,2195.105578,2008.925894,2086.867277,1084.18368,958.8164857,912.5079094,1067.507909,1692.097751,2263.369625,2344.082131,1143.022747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,5,1,4,5,5,5,,1013.863281
20,10,15,3,1,13,4,11,6,7,8,9,14,2,12,5,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.090909091,0,0,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157.692807,0,0,0,2972.884792,2098.639384,0,0,0,0,2390.34389,0,2339.475779,0,4157.692807,2535.762088,2364.909835,2987.123526,3102.497487,11873.63271,4234.636048,5975.878119,3390.123526,3455.956586,10445.66109,2114.853076,4449.664428,1405.283795,4524.878119,7084.984965,3867.632712,2795.283795,5634.753579,4771.251741,3935.612677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,2,5,5,5,,1013.864775
21,9,4,15,5,11,12,7,10,3,13,14,6,8,1,2,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,4,4,4,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0.038461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2324.085026,1898.526911,1202.856657,594.4444752,1794.920153,0,360.7404283,4218.905301,2496.216106,2134.639052,2011.968797,0,1824.822865,2180.6242,1504.978267,2217.695497,2038.013728,7488.122905,20277.37839,1696.66208,15208.03379,2317.268838,5132.972885,2148.414771,3822.268838,2289.991825,1916.122905,2395.939093,1833.414771,1919.089113,1224.467503,1491.15261,9397.493201,3061.954245,1772.812618,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,4,4,4,5,5,5,,1013.868919
22,1,2,6,15,7,13,3,8,4,5,12,11,9,14,10,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1688.708274,2246.409892,3126.239198,2286.11151,0,4051.857465,2364.154516,0,2718.219026,6593.814459,0,0,0,1810.048331,2483.197523,2336.867218,3932.011367,2146.622927,11092.77012,4303.153185,15208.08468,10923.70561,3214.153185,4275.579255,7941.067172,4190.345382,3460.834631,7809.62093,1268.705612,1768.834631,1693.577924,1583.770121,2099.430064,8948.373357,5535.489474,1682.86367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,4,4,2,5,5,5,,1013.872312
23,9,8,7,6,10,14,11,15,12,5,4,13,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0.090909091,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.019230769,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3312.925585,0,2462.205859,0,0,0,0,2887.565722,5905.868495,9626.811406,7092.371954,7582.09168,3639.674728,7415.501714,4969.501714,4528.811406,5288.178187,5163.09168,2540.128015,3590.861577,2105.371954,1722.918667,11152.49654,6769.363653,5473.01694,4222.355351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,5,5,5,,1013.863322
24,7,4,5,9,15,11,3,8,1,2,12,13,6,10,14,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266.275558,1959.758628,0,2845.386651,4248.376976,3965.995325,2815.734442,2100.256209,2269.860046,2707.376976,2405.75379,3901.52193,2534.864883,731.6233485,2945.12093,2829.949453,2771.8446,2503.776976,4644.980814,2557.478395,3923.821349,3269.227186,5927.333442,5130.840697,4868.449372,4114.463883,4781.705418,5133.840697,1461.096744,3108.478395,2086.323767,2234.463883,2165.449372,4064.568237,4805.860014,2211.162432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,,1013.874395
25,7,12,2,14,13,8,4,9,10,6,1,5,15,3,11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,4,5,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2877.308501,3138.304359,7048.675994,2572.189454,6526.682207,1255.552806,3477.680136,3912.051771,2894.437901,0,2792.926512,3326.797111,2641.671852,5801.304359,2787.181171,4432.632103,2884.930653,3469.976201,8096.168746,4878.285722,21291.36956,12106.9203,11136.41926,3490.413051,16221.99586,14194.24638,5993.419264,17718.28158,1540.788828,1538.659427,1842.406839,1669.788828,1546.413051,11501.83272,11523.67123,1627.611395,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,4,5,5,5,5,,1013.874741
26,3,11,1,6,2,12,10,9,4,5,7,13,15,14,8,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,4,4,5,0,0,0,0.1,0,0,0,0,0.125,0,0,0,0,0,0,0.019230769,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5464.179443,7661.557308,4978.108454,0,3144.482129,3446.450825,0,2291.308848,6584.935173,2814.143948,3315.899679,5534.935173,3869.939364,4141.419521,3477.07715,5312.081833,3784.209699,4067.854178,20277.24427,3601.947744,5825.254621,5191.045846,3584.561498,4219.561498,3684.285925,5334.112644,7936.014543,6701.258812,2799.254621,7163.667981,11152.48435,1692.667981,2756.32561,7696.010796,5575.046684,5112.880108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,4,4,5,5,5,5,,1013.862213
27,7,2,14,6,9,13,3,12,4,8,15,10,11,1,5,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952.452137,2623.192407,2260.059482,0,4895.844793,3402.585063,2267.313092,2183.255809,2218.116764,3533.300851,1954.041121,0,0,2290.376494,0,2932.887205,2720.914316,2122.208807,5723.938797,15208.00612,2556.349813,4117.938797,2942.540021,11202.34981,3166.26805,2906.216888,2652.540021,2135.730229,1412.464378,3228.343693,1738.685187,1515.730229,1605.26193,6109.75471,4412.621,1900.097083,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,4,5,2,5,5,5,,1013.867075
28,10,7,3,9,13,12,15,14,5,4,8,2,6,11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176.970741,2331.453226,1786.107976,3551.97002,1983.936433,1524.970741,5713.351022,1720.177314,1815.178036,1668.488256,821.2116229,0,828.1430057,1743.523286,0,2966.087679,2488.433074,1130.959305,4189.693387,2986.693387,15207.93066,5275.968577,2539.279519,2195.037916,2931.142284,2783.278797,1893.314549,2153.590461,1203.830621,1244.072946,1298.279519,1165.590461,1503.968577,6039.913106,2391.272801,1283.148425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,5,5,3,5,5,5,,1013.862044
29,5,2,7,12,4,8,10,13,14,6,9,3,1,11,15,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15804.18696,2460.954117,2509.827616,4909.032162,0,1880.604203,0,2444.740138,0,0,0,3632.77916,0,1638.041596,6421.000215,2162.67217,2635.410378,9588.982419,5055.719983,6891.749572,7340.584048,7507.244855,7046.390223,5579.719983,2789.390223,5340.079331,2632.982419,1410.788594,1732.972985,1920.040309,1692.759006,2651.244855,7276.856175,4677.712436,1881.56115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,4,2,2,5,5,5,,1013.864065
3,2,3,9,10,11,4,13,12,1,8,14,5,15,7,6,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522.106415,2421.501244,0,1793.976629,0,0,2564.479364,286.3605177,0,0,0,2418.473894,2698.490304,2318.106415,2204.954749,2245.861429,1425.419941,2410.006341,2754.647439,2842.2909,15208.13526,2940.274491,14645.64744,1755.166584,1667.890602,2189.274491,2285.258081,3105.2909,1398.009448,1447.258081,2258.669319,1204.155644,1511.755346,7678.199105,2200.576132,1563.969568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,3,2,4,5,5,5,,1013.875684
30,4,1,7,3,12,8,11,15,9,10,6,5,13,14,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222.359863,3180.449389,2797.053837,5195.033356,2649.09304,0,2189.934468,5883.617323,3986.033356,3373.428909,3802.458751,3132.260975,2416.281455,3353.419547,4867.746053,3208.797897,3858.253514,3514.433356,2783.190172,3170.012876,2960.527797,3116.764777,3016.755415,5979.833823,15913.92335,4411.30954,3939.30954,3326.121126,2314.705093,2357.923349,1880.012876,2099.596843,2184.833823,3009.450207,6714.099476,2167.414397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,,1013.87127
31,13,2,4,7,11,12,6,15,14,1,5,8,10,3,9,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0.090909091,0,0.111111111,0,0,0,0.019230769,0.040816327,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2420.406627,0,0,0,0,,0,0,0,0,0,0,0,0,2420.406627,0,0,3354.487421,4977.753544,3119.362509,7445.285791,4500.701276,4390.560064,3286.366584,6920.753544,6215.233523,4941.289866,3111.697201,2488.366584,7824.959249,1142.560064,1796.959249,4679.518108,5150.840716,3272.90847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,0,0,5,4,5,,1013.866938
